instance,inicio_local,fim_local,duracao_segundos,duracao_minutos
https://www.google.com/generate_204,2026-09-05 08:50:09 -0300,2026-09-05 08:51:09 -0300,120,2.0
https://www.google.com/generate_204,2026-09-05 09:01:09 -0300,2026-09-05 09:01:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-05 09:54:09 -0300,2026-09-05 09:54:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-05 10:00:09 -0300,2026-09-05 10:01:09 -0300,120,2.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-05 11:54:09 -0300,2026-09-05 11:54:09 -0300,60,1.0
https://www.google.com/generate_204,2026-09-05 11:54:09 -0300,2026-09-05 12:03:09 -0300,600,10.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-05 11:58:09 -0300,2026-09-05 11:58:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-05 12:01:09 -0300,2026-09-05 12:01:09 -0300,60,1.0
https://www.google.com/generate_204,2026-09-05 12:09:09 -0300,2026-09-05 12:09:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-05 15:03:09 -0300,2026-09-05 15:04:09 -0300,120,2.0
https://www.google.com/generate_204,2026-09-05 15:03:09 -0300,2026-09-05 15:04:09 -0300,120,2.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-05 15:43:09 -0300,2026-09-05 15:53:09 -0300,660,11.0
https://www.google.com/generate_204,2026-09-05 15:43:09 -0300,2026-09-05 15:53:09 -0300,660,11.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-05 15:56:09 -0300,2026-09-05 15:59:09 -0300,240,4.0
https://www.google.com/generate_204,2026-09-05 15:56:09 -0300,2026-09-05 15:59:09 -0300,240,4.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-05 16:02:09 -0300,2026-09-05 16:04:09 -0300,180,3.0
https://www.google.com/generate_204,2026-09-05 16:02:09 -0300,2026-09-05 16:03:09 -0300,120,2.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-05 16:08:09 -0300,2026-09-05 16:15:09 -0300,480,8.0
https://www.google.com/generate_204,2026-09-05 16:08:09 -0300,2026-09-05 16:15:09 -0300,480,8.0
https://www.google.com/generate_204,2026-09-05 20:32:09 -0300,2026-09-05 20:36:09 -0300,300,5.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-05 20:33:09 -0300,2026-09-05 20:36:09 -0300,240,4.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 03:37:09 -0300,2026-09-06 03:40:09 -0300,240,4.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 07:51:09 -0300,2026-09-06 07:52:09 -0300,120,2.0
https://www.google.com/generate_204,2026-09-06 07:52:09 -0300,2026-09-06 07:53:09 -0300,120,2.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 09:25:09 -0300,2026-09-06 09:25:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 09:45:09 -0300,2026-09-06 09:46:09 -0300,120,2.0
https://www.google.com/generate_204,2026-09-06 09:45:09 -0300,2026-09-06 09:46:09 -0300,120,2.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 09:49:09 -0300,2026-09-06 09:49:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 10:06:09 -0300,2026-09-06 10:08:09 -0300,180,3.0
https://www.google.com/generate_204,2026-09-06 10:06:09 -0300,2026-09-06 10:06:09 -0300,60,1.0
https://www.google.com/generate_204,2026-09-06 10:32:09 -0300,2026-09-06 10:32:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 17:00:09 -0300,2026-09-06 17:02:09 -0300,180,3.0
