instance,inicio_local,fim_local,inicio_utc,fim_utc,duracao_segundos,duracao_minutos
8.8.8.8,2026-09-03 06:26:09 -0300,2026-09-03 06:26:09 -0300,2026-09-03 09:26:09 UTC,2026-09-03 09:26:09 UTC,60,1.0
1.1.1.1,2026-09-03 08:01:09 -0300,2026-09-03 08:01:09 -0300,2026-09-03 11:01:09 UTC,2026-09-03 11:01:09 UTC,60,1.0
8.8.8.8,2026-09-03 08:01:09 -0300,2026-09-03 08:01:09 -0300,2026-09-03 11:01:09 UTC,2026-09-03 11:01:09 UTC,60,1.0
1.1.1.1,2026-09-03 09:05:09 -0300,2026-09-03 09:08:09 -0300,2026-09-03 12:05:09 UTC,2026-09-03 12:08:09 UTC,240,4.0
8.8.8.8,2026-09-03 09:05:09 -0300,2026-09-03 09:06:09 -0300,2026-09-03 12:05:09 UTC,2026-09-03 12:06:09 UTC,120,2.0
8.8.8.8,2026-09-03 09:09:09 -0300,2026-09-03 09:09:09 -0300,2026-09-03 12:09:09 UTC,2026-09-03 12:09:09 UTC,60,1.0
1.1.1.1,2026-09-03 09:12:09 -0300,2026-09-03 09:12:09 -0300,2026-09-03 12:12:09 UTC,2026-09-03 12:12:09 UTC,60,1.0
8.8.8.8,2026-09-03 13:14:09 -0300,2026-09-03 13:14:09 -0300,2026-09-03 16:14:09 UTC,2026-09-03 16:14:09 UTC,60,1.0
8.8.8.8,2026-09-03 17:54:09 -0300,2026-09-03 17:59:09 -0300,2026-09-03 20:54:09 UTC,2026-09-03 20:59:09 UTC,360,6.0
1.1.1.1,2026-09-03 17:55:09 -0300,2026-09-03 17:55:09 -0300,2026-09-03 20:55:09 UTC,2026-09-03 20:55:09 UTC,60,1.0
8.8.8.8,2026-09-03 18:07:09 -0300,2026-09-03 18:07:09 -0300,2026-09-03 21:07:09 UTC,2026-09-03 21:07:09 UTC,60,1.0
1.1.1.1,2026-09-03 18:45:09 -0300,2026-09-03 18:45:09 -0300,2026-09-03 21:45:09 UTC,2026-09-03 21:45:09 UTC,60,1.0
8.8.8.8,2026-09-03 18:45:09 -0300,2026-09-03 18:49:09 -0300,2026-09-03 21:45:09 UTC,2026-09-03 21:49:09 UTC,300,5.0
1.1.1.1,2026-09-03 20:02:09 -0300,2026-09-03 20:02:09 -0300,2026-09-03 23:02:09 UTC,2026-09-03 23:02:09 UTC,60,1.0
8.8.8.8,2026-09-03 20:02:09 -0300,2026-09-03 20:02:09 -0300,2026-09-03 23:02:09 UTC,2026-09-03 23:02:09 UTC,60,1.0
1.1.1.1,2026-09-04 07:19:09 -0300,2026-09-04 07:23:09 -0300,2026-09-04 10:19:09 UTC,2026-09-04 10:23:09 UTC,300,5.0
8.8.8.8,2026-09-04 07:23:09 -0300,2026-09-04 07:23:09 -0300,2026-09-04 10:23:09 UTC,2026-09-04 10:23:09 UTC,60,1.0
1.1.1.1,2026-09-04 08:01:09 -0300,2026-09-04 08:01:09 -0300,2026-09-04 11:01:09 UTC,2026-09-04 11:01:09 UTC,60,1.0
