instance,inicio_local,fim_local,inicio_utc,fim_utc,duracao_segundos,duracao_minutos
8.8.8.8,2026-09-07 10:43:09 -0300,2026-09-07 10:44:09 -0300,2026-09-07 13:43:09 UTC,2026-09-07 13:44:09 UTC,120,2.0
8.8.8.8,2026-09-07 10:48:09 -0300,2026-09-07 10:50:09 -0300,2026-09-07 13:48:09 UTC,2026-09-07 13:50:09 UTC,180,3.0
8.8.8.8,2026-09-07 10:53:09 -0300,2026-09-07 10:55:09 -0300,2026-09-07 13:53:09 UTC,2026-09-07 13:55:09 UTC,180,3.0
1.1.1.1,2026-09-07 10:59:09 -0300,2026-09-07 10:59:09 -0300,2026-09-07 13:59:09 UTC,2026-09-07 13:59:09 UTC,60,1.0
8.8.8.8,2026-09-07 11:02:09 -0300,2026-09-07 11:04:09 -0300,2026-09-07 14:02:09 UTC,2026-09-07 14:04:09 UTC,180,3.0
1.1.1.1,2026-09-07 11:12:09 -0300,2026-09-07 11:12:09 -0300,2026-09-07 14:12:09 UTC,2026-09-07 14:12:09 UTC,60,1.0
8.8.8.8,2026-09-07 11:12:09 -0300,2026-09-07 11:12:09 -0300,2026-09-07 14:12:09 UTC,2026-09-07 14:12:09 UTC,60,1.0
8.8.8.8,2026-09-07 11:16:09 -0300,2026-09-07 11:16:09 -0300,2026-09-07 14:16:09 UTC,2026-09-07 14:16:09 UTC,60,1.0
8.8.8.8,2026-09-07 11:32:09 -0300,2026-09-07 11:32:09 -0300,2026-09-07 14:32:09 UTC,2026-09-07 14:32:09 UTC,60,1.0
8.8.8.8,2026-09-07 11:36:09 -0300,2026-09-07 11:38:09 -0300,2026-09-07 14:36:09 UTC,2026-09-07 14:38:09 UTC,180,3.0
1.1.1.1,2026-09-07 11:38:09 -0300,2026-09-07 11:40:09 -0300,2026-09-07 14:38:09 UTC,2026-09-07 14:40:09 UTC,180,3.0
8.8.8.8,2026-09-07 11:42:09 -0300,2026-09-07 11:46:09 -0300,2026-09-07 14:42:09 UTC,2026-09-07 14:46:09 UTC,300,5.0
